,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
219,1855399104702292280,Sat Nov 09 23:56:32 +0000 2024,0,*lagi liburan ke malang* Tenang banget tata kotanya rapih gak terlalu macet nyaman pengen tinggal di sini deh kayaknya *tiba2 inget sound horeg jatim* Noooo ,1855399104702292280,,,in,,0,0,0,https://x.com/niretsil/status/1855399104702292280,1912898713,niretsil
220,1855398790666264806,Sat Nov 09 23:55:17 +0000 2024,2,Kalo udah rilis ingetin aku buat nyetel nasa pake sound horeg supaya seluruh dunia tau kalau suara oh sion se candu itu,1855398790666264806,,,in,Kwangya,0,1,0,https://x.com/markyushidesu/status/1855398790666264806,1695088748370030593,markyushidesu
221,1855395892721033403,Sat Nov 09 23:43:47 +0000 2024,0,Bayangin yah dari subuh aku udah disuguhi suara dari sound horeg yang menggelegar itu Sabaaarrr gak boleh marah ,1855395892721033403,,,in,walking on flowery road,0,0,0,https://x.com/intoxicatae/status/1855395892721033403,111506687,intoxicatae
222,1855393121091428458,Sat Nov 09 23:32:46 +0000 2024,0,Sumpahh pengen tak musnahkan ae iki sound horeg,1855393121091428458,,,in,,0,1,0,https://x.com/youpihappy/status/1855393121091428458,1334370823059070979,youpihappy
223,1855281206486856102,Sat Nov 09 16:08:03 +0000 2024,0,setelah tragedi ban bocor sound horeg bocil kematian syahurr mimi peri kaos ketinggalan dan kejadian absurd 2 hari kemarin (ini kalo ada meteor jatuh kemarin masih keknya masih masuk akal bgt) FINALLY DONE YA GES YA https://t.co/MfY2oyq1qA,1855281206486856102,https://pbs.twimg.com/media/Gb9IaWDbYAAXlHn.jpg,,in,Alabasta,0,0,0,https://x.com/dewagantengasli/status/1855281206486856102,1330787274896728064,dewagantengasli
224,1855279337983078564,Sat Nov 09 16:01:44 +0000 2024,0,@thejurgenholic Temen aku pesen sound horeg buat muter suara ketawa di depan rumah Gen,1855279617839595551,,thejurgenholic,in,,0,0,0,https://x.com/Riswandair/status/1855279617839595551,1324975120239132672,Riswandair
225,1854919137329602910,Sat Nov 09 15:58:26 +0000 2024,0,@adnmharzza panggung sound horeg ini mah,1855278787421974543,,adnmharzza,in,,0,0,0,https://x.com/Bila7710/status/1855278787421974543,1335821205371117570,Bila7710
226,1855267683430015244,Sat Nov 09 15:55:44 +0000 2024,0,@baduttkeepsi Puter dulu coba anthem nya pake sound horeg,1855278107911164168,,baduttkeepsi,in,,0,1,0,https://x.com/increscntz/status/1855278107911164168,1752291628419887104,increscntz
227,1855136464385744963,Sat Nov 09 15:30:01 +0000 2024,0,@burgersushii cakep bangettt kamu gay ga kak? klo ga aku izin follow mmf yaa ,1855271632333681067,,burgersushii,in,,0,0,0,https://x.com/90s_rightt/status/1855271632333681067,1819991791367802880,90s_rightt
228,1855270452131938663,Sat Nov 09 15:25:19 +0000 2024,0,Acara kampanye hiburan sound horeg ramene kyk ngene,1855270452131938663,,,in,"Kediri, Jawa Timur",0,0,0,https://x.com/glorycahemyu/status/1855270452131938663,1623306635870633984,glorycahemyu
229,1855268915393475067,Sat Nov 09 15:22:25 +0000 2024,0,JiwDip jaya jaya jaya *sewa sound horeg - ini tuhh ringan seringan - ringannya.. asal mood dipta bagus https://t.co/uqBC29ojCL,1855269721412915426,,ahnsydh,in,,0,1,0,https://x.com/ahnsydh/status/1855269721412915426,1789391423487590400,ahnsydh
230,1855269628194562264,Sat Nov 09 15:22:03 +0000 2024,4,Telah menamatkan sound horeg https://t.co/H6LGOgoGUO,1855269628194562264,https://pbs.twimg.com/media/Gb894upagAEmdfi.jpg,,in,,0,0,0,https://x.com/closetowhy/status/1855269628194562264,1050070953982484480,closetowhy
231,1855226402569674934,Sat Nov 09 15:20:05 +0000 2024,0,@mlbbfess psti km pemburu skin nolan ia,1855269134713618480,,mlbbfess,in,,0,0,0,https://x.com/90s_rightt/status/1855269134713618480,1819991791367802880,90s_rightt
232,1855268214475006463,Sat Nov 09 15:16:26 +0000 2024,1,Samping omah Battle Sound horeg Kediri area Bandara Kediri Pecaaaaaaaahhhhhhh https://t.co/JAkFeVwuIP,1855268214475006463,https://pbs.twimg.com/ext_tw_video_thumb/1855267592560357376/pu/img/mgSverpoaFguMxa8.jpg,,in,"Kediri, Jawa Timur",0,0,1,https://x.com/glorycahemyu/status/1855268214475006463,1623306635870633984,glorycahemyu
233,1855184179060965728,Sat Nov 09 15:11:55 +0000 2024,0,@yolandamustika_ kena azab sound horeg emg keknya yol,1855267079693468018,,yolandamustika_,in,"Kota Surabaya, Jawa Timur",0,0,0,https://x.com/Aracista/status/1855267079693468018,813737879780241413,Aracista
234,1854814910821113904,Sat Nov 09 15:06:27 +0000 2024,0,@wakaaranayy @mlbbfess kal sama akun ku juga umurnya dah 7 tahun tapi stuck di honor dan GA PERNAH MENANG MCL ,1855265705324958092,,wakaaranayy,in,,0,0,0,https://x.com/90s_rightt/status/1855265705324958092,1819991791367802880,90s_rightt
235,1855265257230594539,Sat Nov 09 15:04:41 +0000 2024,0,musnh bangsat orang nikahan tapi malem-malem gini masih setel sound speaker kenceng-kenceng 11 12 sama sound horeg,1855265257230594539,,,in,,0,1,0,https://x.com/fsanggrani/status/1855265257230594539,1518589827049869312,fsanggrani
236,1855264708372451567,Sat Nov 09 15:02:30 +0000 2024,1,Oi siapa yang mau bikin acara pls undang uteez soalnya kita mau nampilin lagu sound horeg,1855264708372451567,,,in,UTSY,1,3,1,https://x.com/estpraam/status/1855264708372451567,1822528838603313152,estpraam
237,1855226200328683643,Sat Nov 09 14:55:25 +0000 2024,1,@myamourjk Sekelas Ailee anjir salah satu solois terbaiknya korea aja ngebiasin suara jimin. Kpopers yang keseringan dijejelin autotune lipsync sama sound horeg mana ngerti,1855262927001157787,,myamourjk,in,매직샵,0,0,0,https://x.com/jeonssigurl/status/1855262927001157787,1014860480035237889,jeonssigurl
238,1855245229466808489,Sat Nov 09 14:50:31 +0000 2024,1,@satyaa18_ @briclante ate ne nyeting ta ndek Mijen lak ndek Malang malem minggu mburi sound horeg,1855261692273541161,,satyaa18_,in,Jawa Timur Selatan ,0,1,0,https://x.com/DoisYudi/status/1855261692273541161,1666278854586159105,DoisYudi
239,1855257438464930293,Sat Nov 09 14:50:12 +0000 2024,0,@_AdityaPrbw_ Akulturasi budaya yg tidak diharapkan budaya sound horeg vrindavan fusion dengan lagu dj rimex indo,1855261613559022023,,_AdityaPrbw_,in,,0,0,0,https://x.com/wargacipil/status/1855261613559022023,1017527054,wargacipil
240,1855210025867731318,Sat Nov 09 11:38:18 +0000 2024,0,@tsuinkaze Itu pada war di dragon dua bocil malah adu sound horeg ,1855213321924051427,,tsuinkaze,in,,0,0,0,https://x.com/dafka/status/1855213321924051427,881111627856134144,dafka
241,1855213230198513842,Sat Nov 09 11:37:56 +0000 2024,0,Kita mah seneng pak dah terlatih dengerin sound horeg nikahan yg begadang pagi siang sore malam pagi lagi Sungjin mau konseran malam sampai pagi tapi Dowoon gimana Semangat ya Un kamu harus rajin2 olahraga untuk bisa mewujudkan keinginan bapak ini,1855213230198513842,,,in,,0,0,0,https://x.com/ICanDo7981517/status/1855213230198513842,1323577747675865089,ICanDo7981517
242,1854794529796137315,Sat Nov 09 11:29:39 +0000 2024,0,@yjyyalail suroboyo? takbiran mah emg wajib ada sound horeg wkwk aku pemalang,1855211145608745221,,yjyyalail,in,"Pemalang, Indonesia",0,1,0,https://x.com/coklat_kacangg/status/1855211145608745221,1548605923257491457,coklat_kacangg
243,1855210724488097991,Sat Nov 09 11:29:30 +0000 2024,0,@chopperpen Ak bawain sound horeg ya biar rame,1855211107499352247,,chopperpen,in,,0,1,0,https://x.com/non_3ntity/status/1855211107499352247,1427832115513593864,non_3ntity
244,1855210025867731318,Sat Nov 09 11:25:12 +0000 2024,1,Malah adu sound horeg https://t.co/Q68KFU3qjW,1855210025867731318,https://pbs.twimg.com/ext_tw_video_thumb/1855209909580931072/pu/img/xokeI9hmS-8lkJt-.jpg,,in,,0,3,0,https://x.com/dafka/status/1855210025867731318,881111627856134144,dafka
245,1855208884400722180,Sat Nov 09 11:20:40 +0000 2024,0,suasana se syahdu ini bergelud dengan sound horeg https://t.co/LdgbKdqa95,1855208884400722180,https://pbs.twimg.com/ext_tw_video_thumb/1855208763311243264/pu/img/MEkSUPfxPOrAEUO0.jpg,,in,,0,0,0,https://x.com/robithahmadd/status/1855208884400722180,1721884276759928832,robithahmadd
246,1855203423991513551,Sat Nov 09 11:16:34 +0000 2024,0,@koldbruhh kalo mati listrik sound horeg pake apaa njir,1855207850769096823,,koldbruhh,in,,0,1,0,https://x.com/glamourrebel/status/1855207850769096823,1720095306568916992,glamourrebel
247,1855207269245304977,Sat Nov 09 11:14:15 +0000 2024,0,anjingg sound horeg udah masuk jawa tengah,1855207269245304977,,,in,,0,0,0,https://x.com/krishiday/status/1855207269245304977,982446376175845376,krishiday
248,1854869046572827110,Sat Nov 09 11:13:03 +0000 2024,3,@EX0X0g @starfess Exo tuh walau ada yg bolong ttep kedengeran EXO Kadang kalo member yg kurang dah gabung lagi aku suka mikir eh iya di exo kan ada member ini juga wkwk agak prik tapi ttp jadi exol ditengah gempuran sound horeg,1855206968136466816,,EX0X0g,in,indonesia,0,0,0,https://x.com/3112soul/status/1855206968136466816,1435006081,3112soul
249,1855146345377440148,Sat Nov 09 11:10:22 +0000 2024,1,@Dennysiregar7 @Naandaa27 @prabowo effek kampanye pake sound horeg fufufafa biarin aja turun kelas amin,1855206289967882379,,Dennysiregar7,in,,0,0,0,https://x.com/Penyair_Berdiri/status/1855206289967882379,1240137086331748352,Penyair_Berdiri
